Subject,Condition,Age,Gender,Race,MFQ_Self_1,MFQ_Self_2,MFQ_Self_3,MFQ_Self_4,MFQ_Self_5,MFQ_Self_Check1,MFQ_Self_7,MFQ_Self_8,MFQ_Self_9,MFQ_Self_10,MFQ_Self_11,MFQ_Self_12,MFQ_Self_13,MFQ_Self_15,MFQ_Self_16,MFQ_Self_17,MFQ_Self_Check2,MFQ_Self_19,MFQ_Self_20,MFQ_Self_21,MFQ_Self_22,MFQ_Self_23,Issue_agreement,Issue_Cand,Issue_Discrim,Issue_Weed,Issue_PB,Identification,Ident_Cand,Ident_Discrim,Ident_Weed,Ident_PB,ManCheck,Check_Cand,Check_Discrim,Check_Weed,Check_PB,MFQ_Targ_1,MFQ_Targ_2,MFQ_Targ_3,MFQ_Targ_4,MFQ_Targ_5,MFQ_Targ_Check1,MFQ_Targ_7,MFQ_Targ_8,MFQ_Targ_9,MFQ_Targ_10,MFQ_Targ_11,MFQ_Targ_12,MFQ_Targ_13,MFQ_Targ_15,MFQ_Targ_16,MFQ_Targ_17,MFQ_Targ_Check2,MFQ_Targ_19,MFQ_Targ_20,MFQ_Targ_21,MFQ_Targ_22,MFQ_Targ_23
254,1,19,2,5,4,3,,2,4,1,4,5,5,4,5,5,6,3,6,5,5,6,6,6,4,1,4,4,,,,3,3,,,,5,5,,,,5,6,4,4,5,1,6,6,6,5,5,6,6,1,6,4,6,6,6,6,1,4
255,3,18,2,5,5,5,4,3,3,1,5,5,4,3,2,5,5,1,2,3,6,6,5,2,3,3,1,,,1,,3,,,3,,5,,,5,,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
256,4,18,2,2,4,5,4,5,5,1,5,5,5,5,5,4,6,3,6,5,6,2,5,5,6,4,1,,,,1,3,,,,3,5,,,,5,5,5,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
257,3,19,2,5,6,6,1,4,6,1,6,6,6,3,3,6,6,2,6,1,6,6,4,5,3,2,1,,,1,,4,,,4,,5,,,5,,5,6,5,6,6,3,6,6,4,6,3,5,6,3,6,4,6,5,6,6,1,6
258,4,18,2,5,5,6,2,1,6,1,6,6,6,3,3,4,6,3,3,3,5,5,3,6,1,4,1,,,,1,1,,,,1,5,,,,5,6,6,4,4,6,1,6,6,6,4,4,6,6,4,4,4,5,5,4,6,4,4
259,3,21,2,5,6,6,1,3,2,1,5,4,4,4,4,6,4,2,3,4,5,5,5,2,2,1,4,,,4,,2,,,2,,5,,,5,,6,6,3,3,5,1,4,4,4,3,3,6,5,2,2,4,5,6,5,2,1,1
261,4,21,2,2,5,5,4,5,5,2,5,5,5,5,5,5,5,3,6,5,6,6,5,6,5,4,1,,,,1,1,,,,1,5,,,,5,5,5,5,5,5,2,5,5,5,5,5,5,5,3,6,5,6,6,5,6,5,4
262,2,19,2,5,5,5,4,4,5,3,5,5,6,4,5,5,5,2,2,3,6,4,2,3,2,2,1,,1,,,4,,4,,,5,,5,,,5,2,6,6,6,2,3,2,5,4,6,4,3,6,6,6,5,5,4,5,6,6
263,2,21,2,5,6,6,1,5,5,1,4,4,3,2,4,5,5,2,4,4,6,5,3,2,1,3,1,,1,,,4,,4,,,5,,5,,,4,4,4,5,5,1,3,3,4,5,5,4,4,5,5,5,5,6,6,5,5,5
264,4,18,1,5,3,5,4,5,4,2,5,6,5,2,6,5,6,2,5,4,6,6,5,5,4,6,1,,,,1,4,,,,4,5,,,,5,6,6,3,6,5,4,6,6,5,1,6,5,6,5,6,5,6,6,5,6,1,5
265,3,20,2,5,6,5,3,3,3,1,4,3,3,2,3,5,5,4,4,3,6,5,4,4,3,3,1,,,1,,4,,,4,,5,,,5,,6,6,5,6,6,3,4,5,4,6,5,6,6,5,6,5,6,5,6,6,4,5
266,1,20,2,6,4,5,1,3,4,4,4,4,3,6,2,5,6,4,6,4,5,4,5,4,4,5,1,1,,,,3,3,,,,5,5,,,,1,1,6,6,6,2,1,1,1,6,6,1,1,6,6,6,1,6,4,5,6,6
268,1,19,2,6,6,5,1,2,1,1,5,6,2,3,4,6,6,2,3,4,6,6,5,2,2,2,1,1,,,,3,3,,,,5,5,,,,1,2,6,5,4,3,2,2,6,6,6,2,3,6,6,6,6,6,6,6,6,6
269,4,18,2,6,6,6,3,5,6,2,6,5,6,4,6,6,6,2,6,6,6,6,6,4,3,5,4,,,,4,3,,,,3,5,,,,5,3,4,2,1,2,2,3,3,2,6,3,3,4,2,4,2,3,6,5,2,1,1
270,1,18,2,5,5,5,1,5,6,1,4,5,4,4,3,5,6,1,4,4,6,4,5,2,3,3,1,1,,,,3,3,,,,5,5,,,,4,2,5,5,3,1,3,5,5,5,4,4,3,6,5,5,4,4,5,5,5,5
271,4,18,2,5,6,6,2,3,4,1,4,6,4,2,2,5,6,3,4,2,6,4,3,4,1,2,4,,,,4,1,,,,1,5,,,,5,6,6,3,5,5,1,5,6,4,2,3,5,6,3,5,2,6,5,4,5,2,2
272,4,18,1,5,6,6,6,6,1,1,1,4,3,1,6,6,6,5,6,6,6,6,6,5,6,6,1,,,,1,5,,,,5,5,,,,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
273,1,20,2,2,6,6,4,5,6,1,6,6,6,3,6,4,6,3,6,4,6,6,6,6,1,4,1,1,,,,3,3,,,,5,5,,,,6,4,6,3,3,1,3,4,5,6,4,4,5,6,5,6,6,5,6,6,3,5
274,1,20,2,5,6,5,2,4,4,1,5,5,5,4,3,4,5,4,5,4,6,4,3,3,4,4,1,1,,,,3,3,,,,5,5,,,,4,3,6,5,5,3,3,6,6,6,5,1,2,6,6,4,4,1,4,5,6,5
276,4,22,1,5,6,3,2,3,6,1,4,5,5,3,1,5,4,4,4,4,5,5,3,6,4,4,1,,,,1,1,,,,1,5,,,,5,5,5,4,3,5,1,5,5,5,4,4,5,4,4,4,5,6,5,3,4,3,4
277,3,24,1,3,1,1,6,3,6,1,6,6,3,4,6,2,6,1,6,4,6,1,6,2,3,3,1,,,1,,5,,,5,,5,,,5,,6,4,1,6,6,3,3,5,3,6,6,5,4,6,6,6,6,4,6,4,1,6
279,1,19,2,5,5,4,2,4,6,2,3,3,4,2,2,5,4,2,5,4,5,4,3,2,2,3,1,1,,,,3,3,,,,5,5,,,,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,4,4,3,5,5,5,5
281,2,19,2,5,5,6,4,5,3,1,4,6,5,6,4,5,6,2,4,3,5,5,3,2,2,1,1,,1,,,3,,3,,,5,,5,,,3,1,4,6,5,4,3,2,4,5,6,4,3,6,6,6,5,6,6,2,6,6
282,1,20,2,5,5,5,2,2,4,2,4,4,3,2,3,4,6,5,6,3,6,3,5,6,1,3,1,1,,,,1,1,,,,5,5,,,,4,4,4,5,4,2,3,5,5,2,2,5,5,6,6,4,6,1,4,5,3,3
283,1,18,2,6,5,5,5,5,6,1,5,5,5,3,5,6,6,5,5,6,6,4,4,3,3,1,1,1,,,,4,4,,,,5,5,,,,4,2,6,6,3,2,4,4,4,4,4,5,4,6,6,5,6,4,6,6,5,5
284,3,21,2,6,5,6,1,3,2,1,5,5,4,3,5,5,6,2,4,4,5,6,2,2,1,1,1,,,1,,2,,,2,,5,,,5,,5,3,5,5,5,1,2,2,5,5,6,4,3,6,5,5,6,5,5,6,4,6
285,1,19,2,5,6,5,1,3,2,1,6,5,4,4,4,6,5,2,5,2,6,6,4,2,6,2,1,1,,,,3,3,,,,5,5,,,,1,1,6,6,6,1,1,1,6,6,6,3,1,6,6,6,6,3,2,5,6,6
286,2,21,2,3,5,5,3,6,5,1,5,5,5,4,4,6,5,5,6,4,5,5,5,4,3,3,1,,1,,,3,,3,,,5,,5,,,4,3,6,6,6,2,2,3,4,5,5,4,3,6,6,6,6,6,6,5,5,5
288,2,19,2,5,5,5,1,2,1,1,5,5,5,3,5,5,5,1,3,4,6,6,6,5,1,2,4,,4,,,1,,1,,,5,,5,,,6,6,1,2,2,1,5,6,3,6,3,6,6,1,2,2,6,6,6,4,1,4
289,4,19,2,2,6,6,4,6,4,1,4,2,4,2,3,6,6,3,6,6,6,6,6,6,2,6,4,,,,4,1,,,,1,5,,,,5,6,6,6,6,6,3,6,5,6,4,6,6,6,4,6,6,6,6,6,6,4,6
290,3,21,1,5,4,3,3,3,3,4,4,4,2,2,2,5,5,,6,3,3,3,3,3,4,4,1,,,1,,5,,,5,,5,,,5,,4,4,3,3,3,2,3,4,4,4,4,3,3,4,4,3,3,3,3,3,2,2
291,2,19,2,3,5,5,1,4,3,1,4,2,3,4,5,6,6,1,4,2,6,6,3,2,1,6,1,,1,,,5,,5,,,5,,5,,,4,3,6,6,6,4,5,5,5,6,6,6,6,6,6,6,6,6,6,4,5,6
292,4,21,1,6,5,5,4,4,3,2,2,3,4,4,3,5,6,4,4,5,5,5,4,3,3,3,4,,,,4,2,,,,2,5,,,,5,5,5,2,3,4,1,4,4,4,2,2,6,6,4,5,3,5,5,4,4,4,3
294,1,20,2,5,6,6,1,2,3,1,5,5,3,4,3,5,5,1,4,3,6,6,4,3,3,2,1,1,,,,4,4,,,,5,5,,,,5,4,4,5,5,2,5,5,5,5,5,4,6,5,6,4,6,4,6,5,5,4
295,3,33,2,6,5,5,3,3,4,3,5,4,3,3,5,4,4,2,3,4,6,5,4,3,4,3,1,,,1,,1,,,1,,5,,,5,,5,5,4,4,5,1,5,5,4,4,4,5,4,1,4,4,6,5,4,3,4,3
296,3,19,2,5,4,5,3,4,5,2,5,6,5,5,4,5,4,4,5,4,6,6,5,6,4,5,1,,,1,,5,,,5,,5,,,5,,4,4,3,5,6,3,5,5,6,6,6,6,6,4,6,6,6,6,6,6,4,6
297,3,19,2,5,6,5,1,5,6,1,3,6,6,6,6,5,3,1,4,5,6,6,5,2,1,1,1,,,1,,5,,,5,,5,,,5,,5,5,1,6,6,5,1,6,6,6,6,2,6,6,6,6,6,4,6,4,6,6
298,3,19,1,5,5,5,1,1,3,1,4,5,5,2,3,6,6,2,2,2,6,6,3,3,2,2,1,,,1,,2,,,2,,5,,,5,,6,6,3,5,4,3,6,6,5,5,4,5,6,4,6,5,6,6,6,5,4,3
299,4,18,2,5,6,6,6,6,6,6,6,6,6,6,6,4,6,1,4,3,6,6,6,3,1,1,4,,,,4,4,,,,4,5,,,,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
300,2,19,1,5,1,2,2,2,5,2,3,3,3,2,2,4,5,3,4,3,5,5,4,4,3,3,1,,1,,,3,,3,,,5,,5,,,2,2,4,4,4,1,2,2,4,5,2,4,4,,5,3,5,6,4,5,4,5
301,3,18,1,4,5,6,2,4,3,1,5,5,4,3,4,5,6,2,5,2,6,4,6,6,2,4,1,,,1,,4,,,4,,5,,,5,,5,5,4,6,6,2,5,5,5,6,6,5,5,5,6,6,6,6,6,4,3,6
302,2,19,2,5,5,5,4,3,4,1,6,5,6,3,6,5,6,1,5,2,6,6,2,4,1,2,4,,4,,,3,,3,,,5,,5,,,6,6,2,1,3,1,6,3,6,5,5,6,6,1,1,2,4,5,6,3,1,1
303,3,19,2,2,5,5,4,5,6,1,4,4,2,2,2,4,3,1,3,2,4,4,3,3,1,1,1,,,1,,4,,,4,,5,,,5,,5,4,1,1,1,1,3,3,2,4,1,3,3,5,5,5,6,6,6,6,5,6
304,2,20,1,5,2,2,1,4,1,1,1,6,6,1,1,1,2,6,4,2,2,1,6,3,4,3,4,,4,,,1,,1,,,5,,5,,,6,6,6,1,1,1,6,4,3,6,6,6,5,1,1,6,6,6,2,6,6,2
305,3,26,1,5,4,4,1,2,4,1,5,6,4,3,3,5,5,5,4,2,6,6,5,2,2,2,1,,,1,,3,,,3,,5,,,5,,5,5,3,4,4,1,5,4,4,4,4,5,5,4,4,3,6,5,5,6,2,3
306,2,18,2,5,4,4,4,4,4,4,4,4,4,4,4,5,6,2,5,3,4,5,4,4,3,4,1,,1,,,3,,3,,,5,,5,,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
307,3,20,2,5,6,5,1,3,2,1,5,5,4,2,4,5,5,2,4,2,6,5,4,3,2,2,1,,,1,,3,,,3,,5,,,5,,6,6,2,6,5,2,6,6,5,3,5,6,6,4,5,4,6,6,6,5,4,5
308,3,19,2,2,6,6,1,2,2,1,6,6,6,1,2,5,6,1,4,4,6,6,5,5,1,1,1,,,1,,3,,,3,,5,,,5,,6,6,1,2,1,1,6,6,4,1,1,6,6,1,3,4,6,6,6,5,1,1
309,2,19,2,6,6,5,2,3,4,1,4,5,5,3,5,6,6,3,5,5,5,6,3,4,4,5,1,,1,,,3,,3,,,5,,5,,,4,3,5,6,5,2,3,4,6,5,6,4,4,6,6,6,5,4,5,6,5,5
310,4,23,2,5,6,6,4,5,6,2,6,6,5,4,4,5,6,6,6,6,6,6,5,6,3,6,1,,,,1,1,,,,1,5,,,,5,5,6,2,3,5,2,6,6,4,5,6,5,5,3,1,6,6,6,3,6,5,6
311,4,22,2,5,5,6,4,5,4,1,3,5,3,2,4,6,6,5,6,5,6,4,5,3,4,5,1,,,,1,4,,,,4,5,,,,5,5,6,5,6,6,4,5,4,2,3,3,5,6,6,6,3,6,5,6,3,3,6
312,1,18,2,6,4,5,6,5,4,1,4,3,4,4,2,4,6,3,6,4,6,4,5,6,5,2,1,1,,,,1,1,,,,5,5,,,,4,5,5,4,4,2,5,6,5,4,3,5,6,2,4,5,6,3,5,6,6,3
313,2,21,1,5,6,6,1,1,2,1,6,6,4,5,5,5,5,1,2,3,6,5,5,3,2,1,1,,1,,,4,,4,,,5,,5,,,5,4,5,5,4,1,5,4,6,6,4,4,4,5,6,6,6,4,6,5,5,6
315,1,30,2,2,2,3,2,4,5,1,4,4,5,5,4,3,6,6,4,5,6,6,5,3,2,5,1,1,,,,2,2,,,,5,5,,,,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,5,5,3,5
316,4,21,1,2,4,4,3,3,5,2,5,4,3,3,4,4,6,3,5,5,4,3,4,4,3,4,1,,,,1,3,,,,3,5,,,,5,4,4,4,3,3,4,4,4,5,3,4,4,5,5,4,3,3,6,4,4,6,4
317,1,19,2,2,5,6,4,5,6,3,3,3,4,3,3,6,6,1,5,3,4,4,5,3,3,3,,,,,,2,2,,,,5,5,,,,2,2,5,4,2,2,2,2,2,4,2,2,2,6,6,2,2,2,2,5,6,6
319,4,20,1,4,4,4,2,4,4,2,4,4,4,3,3,4,4,3,4,3,6,2,3,6,3,4,1,,,,1,4,,,,4,5,,,,5,4,3,3,4,5,4,4,3,3,4,4,4,4,5,5,3,2,3,5,5,4,3
320,3,20,2,2,5,5,1,5,5,1,1,5,3,3,2,1,6,4,6,1,6,6,5,4,2,1,1,,,1,,4,,,4,,5,,,5,,4,3,4,3,4,3,4,3,4,3,4,4,5,5,4,3,6,,4,4,5,4
321,2,18,2,6,6,6,1,1,2,1,6,6,5,1,6,5,5,1,1,3,6,6,4,2,1,1,1,,1,,,5,,5,,,5,,5,,,5,4,6,5,6,1,3,2,5,6,6,6,4,6,6,6,6,3,3,6,4,6
323,1,20,2,5,6,5,2,3,3,1,4,4,5,4,2,6,5,2,2,4,4,4,5,3,2,2,1,1,,,,4,4,,,,5,5,,,,5,2,5,5,5,2,2,2,4,5,4,4,3,6,6,5,4,3,3,5,5,5
324,3,19,2,5,5,5,2,2,3,1,3,5,5,1,4,5,5,4,4,3,5,6,4,3,3,1,1,,,1,,3,,,3,,5,,,5,,5,3,2,4,6,1,6,5,3,4,3,5,3,2,5,5,6,5,6,6,4,4
325,2,19,2,4,5,5,1,5,5,1,4,5,1,1,5,5,6,1,4,5,6,6,6,3,1,4,1,,1,,,4,,4,,,5,,5,,,4,2,5,6,4,1,4,2,2,6,4,4,3,5,6,6,6,4,6,6,4,4
326,3,34,2,5,6,4,3,2,5,1,6,5,5,4,4,6,6,2,6,5,6,5,3,5,6,3,1,,,1,,4,,,4,,5,,,5,,6,6,6,6,5,1,6,6,6,4,3,6,6,6,5,3,6,6,6,5,2,3
327,4,19,2,5,6,6,1,1,4,2,4,4,2,2,2,4,6,2,3,5,6,6,2,1,1,1,4,,,,4,1,,,,1,5,,,,5,1,1,6,6,6,3,1,1,6,6,3,1,2,6,6,2,6,2,6,6,6,6
328,1,18,2,5,6,6,1,2,1,1,4,4,1,1,1,6,6,1,2,1,6,5,3,2,1,1,1,1,,,,4,4,,,,5,5,,,,1,1,6,6,6,3,1,1,5,6,6,1,2,6,6,6,4,1,3,6,6,6
329,1,22,2,2,5,5,3,5,5,3,5,5,5,5,5,5,5,3,4,3,5,5,3,5,2,2,1,1,,,,3,3,,,,5,5,,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
330,1,19,1,2,3,4,2,4,5,1,2,3,4,2,2,5,6,6,6,3,6,6,6,6,6,2,4,4,,,,1,1,,,,5,5,,,,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
331,3,19,1,3,4,4,3,4,4,1,3,4,3,3,3,4,4,3,4,2,4,3,4,3,4,4,1,,,1,,3,,,3,,5,,,5,,6,5,4,6,5,4,5,5,4,5,6,6,5,5,6,5,6,4,4,4,2,3
332,4,20,2,5,2,5,5,5,4,3,3,6,4,3,6,3,3,5,5,5,6,6,6,6,5,3,4,,,,4,3,,,,3,5,,,,5,5,6,4,5,6,1,4,6,4,3,6,6,6,3,6,6,6,6,6,5,2,4
333,2,19,2,5,4,4,4,5,3,1,5,4,5,1,4,4,6,2,2,2,6,6,5,1,3,1,1,,1,,,4,,4,,,5,,5,,,3,1,4,5,5,2,1,5,4,6,6,6,4,6,6,1,6,6,5,6,6,6
334,3,18,2,2,6,6,5,6,6,3,4,6,5,5,6,6,6,4,6,5,6,6,6,4,4,6,1,,,1,,3,,,3,,5,,,5,,6,3,3,6,6,1,1,4,2,6,6,6,6,4,6,6,6,6,6,6,4,6
336,3,20,2,5,6,6,2,3,5,2,5,5,3,2,2,5,5,2,3,3,5,5,5,2,2,2,1,,,1,,4,,,4,,5,,,5,,5,5,5,5,5,2,5,5,5,4,3,5,5,5,5,4,5,4,5,4,4,4
337,3,21,2,2,6,6,5,5,4,1,6,6,4,5,5,5,6,6,6,5,6,3,5,4,5,4,4,,,4,,3,,,3,,5,,,5,,5,5,4,4,6,1,5,5,5,4,5,6,4,6,5,3,6,5,4,3,3,3
338,1,23,2,2,4,4,5,6,5,1,3,5,5,1,6,4,4,6,2,6,6,6,2,6,5,2,4,4,,,,2,2,,,,5,5,,,,4,4,4,6,6,4,5,3,2,6,4,5,5,5,6,6,4,4,4,4,2,4
339,2,18,2,2,6,6,3,5,6,1,6,6,4,4,4,5,5,1,5,3,6,4,5,3,1,1,1,,1,,,,,,,,5,,5,,,6,5,6,6,6,1,5,5,5,6,6,4,4,5,6,6,6,5,6,6,4,6
340,3,20,2,6,4,5,3,5,4,4,4,6,5,4,6,6,6,3,5,6,5,6,6,3,3,4,1,,,1,,3,,,3,,5,,,5,,2,4,4,2,2,3,3,3,3,3,3,3,3,5,4,4,5,6,6,6,6,6
341,1,18,1,6,4,4,1,3,1,1,4,2,2,2,3,4,6,1,4,2,6,5,5,2,1,1,1,1,,,,4,4,,,,5,5,,,,2,2,5,5,5,4,2,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5
342,4,18,2,2,5,6,4,4,5,4,6,6,5,4,5,6,5,,5,6,6,6,4,5,5,4,1,,,,1,3,,,,3,5,,,,5,6,5,6,6,6,5,5,5,5,6,6,5,6,5,6,6,6,5,6,5,4,3
343,2,33,2,5,5,5,1,3,3,1,5,4,2,2,4,6,5,3,5,4,5,5,5,1,2,2,1,,1,,,3,,3,,,5,,5,,,4,5,3,4,3,1,4,5,3,3,2,5,4,3,5,4,6,6,6,1,3,3
344,4,19,2,2,5,4,6,1,2,4,5,2,1,4,1,5,6,6,4,6,6,6,6,5,5,3,4,,,,4,4,,,,4,5,,,,5,6,5,6,5,1,2,2,1,3,1,4,2,6,6,6,6,6,5,6,3,6,6
345,3,18,2,5,4,2,1,1,4,1,5,5,3,2,2,5,4,1,3,4,6,6,6,6,3,5,1,,,1,,4,,,4,,5,,,5,,6,6,4,6,6,1,6,6,5,4,4,6,6,2,6,6,6,6,6,6,6,6
346,2,19,2,4,6,6,3,5,5,1,4,5,3,3,6,4,6,1,5,5,6,6,5,4,2,3,1,,1,,,4,,4,,,5,,5,,,4,2,5,6,6,1,1,3,4,6,6,2,4,6,6,6,6,6,6,5,4,6
347,1,18,2,5,6,5,4,4,6,1,5,6,4,4,3,5,5,4,4,3,6,6,5,4,2,1,1,1,,,,3,3,,,,5,5,,,,3,3,5,6,2,1,2,2,3,6,2,3,2,3,6,5,3,4,3,6,6,6
349,3,18,2,5,4,4,3,4,3,1,4,4,3,2,2,6,5,1,3,3,5,4,2,2,1,3,4,,,4,,2,,,2,,5,,,5,,5,5,1,1,2,1,6,3,2,1,1,5,6,1,1,2,3,6,1,2,1,5
350,2,22,1,5,5,5,4,6,6,1,6,4,3,2,2,6,6,4,5,4,6,6,6,2,4,3,1,,1,,,3,,3,,,5,,5,,,5,4,4,4,4,2,4,4,3,4,4,5,4,6,6,5,5,6,6,4,4,5
351,1,19,2,2,6,4,3,4,4,1,5,5,5,4,2,5,4,4,5,3,5,4,5,5,1,2,1,1,,,,4,4,,,,5,5,,,,3,1,6,3,3,4,3,4,2,4,2,3,3,6,5,3,4,2,5,4,6,4
352,3,20,1,2,2,2,1,1,2,2,2,2,2,1,3,3,5,2,2,3,4,4,4,3,4,3,1,,,1,,2,,,2,,5,,,5,,5,5,4,2,5,3,5,2,2,5,1,5,4,4,6,6,4,4,5,5,5,5
353,4,18,2,5,3,5,1,1,1,1,6,5,4,1,2,6,6,1,6,5,5,6,2,2,4,1,1,,,,1,5,,,,5,5,,,,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,4,6,5,5,5,2,2
354,1,19,2,5,6,6,1,2,2,1,5,6,1,1,6,6,6,2,4,6,6,6,6,2,1,1,1,1,,,,2,2,,,,5,5,,,,3,3,4,5,3,1,3,4,5,1,4,4,4,5,6,6,6,6,5,3,4,2
355,1,18,1,2,6,6,2,3,4,6,5,6,4,2,2,1,5,5,4,3,6,6,2,1,2,3,1,1,,,,2,2,,,,5,5,,,,6,6,3,5,3,4,5,6,3,3,4,4,5,6,5,4,6,6,4,4,2,3
356,1,18,2,5,5,5,3,4,5,2,2,5,5,5,4,5,3,4,4,2,2,4,3,2,1,4,1,1,,,,5,5,,,,5,5,,,,1,1,3,1,1,3,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2
357,2,18,2,2,5,4,3,6,6,1,4,5,3,2,4,5,3,1,3,3,5,4,3,2,1,3,1,,1,,,2,,2,,,5,,5,,,4,2,5,5,3,2,3,5,5,4,4,4,5,6,4,3,3,3,5,4,5,5
358,2,19,2,2,6,5,4,4,3,1,4,4,5,2,2,6,6,4,5,5,6,6,5,5,4,3,1,,1,,,4,,4,,,5,,5,,,4,2,5,4,4,2,4,4,4,4,4,5,4,5,5,5,5,4,5,5,5,4
359,4,19,2,5,6,6,1,6,6,1,1,6,1,1,6,3,3,3,6,6,6,6,4,5,5,6,4,,,,4,5,,,,5,5,,,,5,1,1,6,1,1,6,1,1,6,6,1,6,6,1,1,1,1,1,6,1,1,1
360,1,18,2,5,4,5,5,6,6,3,5,5,6,4,4,6,4,2,6,4,6,5,3,6,2,3,1,1,,,,3,3,,,,5,5,,,,5,3,6,6,6,2,4,3,6,6,6,5,3,6,6,5,4,4,5,6,6,6
